X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-72.484164639096235,7.867456471524914,4,7010,0,0,LA PARADA,CONCESION ANI,N. DE SANTANDER,7.86745647,-72.48416464,2000,2000,2000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cúcuta - Puente Internacional Simón Bolívar,2000,2000,2
-76.119069139795329,4.25300154381129,5,2506,0,0,URIBE,DEPARTAMENTO,VALLE DEL CAUCA,4.25300154,-76.11906914,8200,34000,37700,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Andalucía - La Paila -La Victoria,10600,25000,3
-75.998898012487132,8.819768367258048,51,7401,0,0,LOS CEDROS,CONCESION ANI,CORDOBA,8.81976837,-75.99889801,7800,23200,26200,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puerto Rey - Monteria,8600,18200,2
-75.30171963027442,8.031280605800358,70,2513,0,0,LA APARTADA,CONCESION ANI,CORDOBA,8.03128061,-75.30171963,11700,17300,31300,50000,57600,http://hermes.invias.gov.co/carreteras/images/peajes/la_apartada.jpg,Caucasia - Planeta Rica,17300,17300,2
-73.912884174791515,5.104247254364072,73,45A04,0,0,CASABLANCA,CONCESION ANI,CUNDINAMARCA,5.10424725,-73.91288417,7600,26500,31000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/casablanca.jpg,Bogotá - Ubaté,8300,21300,2
-76.343251862175407,3.523466728901978,82,2505,0,0,CIAT,CONCESION ANI,VALLE DEL CAUCA,3.52346673,-76.34325186,8100,33900,39000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cali - Palmira - Buga,9700,26100,2
-72.469450022739963,7.910598040128399,12, ,0,0,EL ESCOBAL,CONCESION ANI,N. DE SANTANDER,7.91059804,-72.46945002,2000,2000,2000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Avenida Demetrio  Mendoza,2000,2000,2
-76.66557060028957,3.762970321077945,44,4001,0,0,LOBOGUERRERO,CONCESION ANI,VALLE DEL CAUCA,3.76297032,-76.6655706,7500,26200,29900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cruce Ruta 40 (Loboguerrero) - Buga,8400,20000,2
-76.536426172862235,2.701365194857866,49,2504,0,0,TUNÍA,CONCESION ANI,CAUCA,2.70136519,-76.53642617,8000,33800,38900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Popayán - Jamundí,9600,25900,2
-76.253442038857344,3.972175833157183,8,25505,0,0,BETANIA,DEPARTAMENTO,VALLE DEL CAUCA,3.97217583,-76.25344204,8200,34000,37700,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Buga - Andalucía,10600,25000,3
-75.378610153569156,6.477997755826376,9,2510,0,0,PANDEQUESO,DEPARTAMENTO,ANTIOQUIA,6.47799776,-75.37861015,7400,22000,25000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellìn - Hoyo Rico,8100,17200,3
-76.459742700460694,3.15140455964904,50,2504A,0,0,VILLARICA,CONCESION ANI,CAUCA,3.15140456,-76.4597427,8000,33800,38900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Límites Cauca - Candelaria - Palmira,9600,25900,2
-76.457583552962916,3.627638620471031,52,23VL02,0,0,PASO DE LA TORRE,CONCESION ANI,VALLE DEL CAUCA,3.62763862,-76.45758355,8000,33800,38900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Paso de La Torre - Siberia (Variante Yumbo),9600,25900,2
-76.381122503425715,3.643935121367526,53,2505B,0,0,ROZO,CONCESION ANI,VALLE DEL CAUCA,3.64393512,-76.3811225,8000,33800,38900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Palmaseca - El Cerrito,9600,25900,2
-75.39352519304849,7.589270399872464,54,2512,0,0,TARAZÁ,INVIAS,ANTIOQUIA,7.5892704,-75.39352519,7900,23100,25900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/taraza.jpg,Tarazá - Caucasia,8600,18200,5
-73.333289568849438,6.178236419387616,55,45A06,0,0,OIBA,CONCESION ANI,SANTANDER,6.17823642,-73.33328957,8300,31000,31000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/oiba.jpg,Puente Nacional - San Gil,21300,26500,2
-75.599995128692399,5.391597876470059,56,2508,0,0,SUPÍA,CONCESION ANI,CALDAS,5.39159788,-75.59999513,7700,22700,25600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/supia.jpg,La Felisa - La Pintada,8400,17900,2
-72.943770699413321,4.678585528686103,58,6511,0,0,SAN PEDRO,CONCESION ANI,CASANARE,4.67858553,-72.9437707,7800,23000,25800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/san_pedro.jpg,Barranca de Upía - Monterrey,8500,18100,2
-72.975502803780927,10.80005907676964,59,4902,0,0,SAN JUAN,CONCESION ANI,GUAJIRA,10.80005908,-72.9755028,8700,10700,11500,33200,38000,http://hermes.invias.gov.co/carreteras/images/peajes/san_juan.jpg,Río Pereira - Buenavista,9200,10100,2
-73.080220858246761,6.617782566810216,60,45A07,0,0,CURITÍ,CONCESION ANI,SANTANDER,6.61778257,-73.08022086,7600,26500,31000,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/san_gil.jpg,San Gil - Bucaramanga,8300,21300,2
-75.594045079915858,5.968781939783223,69,2509,0,0,PRIMAVERA,CONCESION ANI,ANTIOQUIA,5.96878194,-75.59404508,7700,22700,25600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/primavera.jpg,La Pintada - Primavera,8400,17900,2
